,antigen_recognition_function,antigenic_feature_range,antigenic_feature_count,lymphocytes_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,best_solution,best_fitness,elapsed_time
145,ackley,"(-32.768, 32.768)",3,300,1000,0.1,3,[-3.97119977 -0.992852   -2.97847378],8.87675679295695,6.50291109085083
146,ackley,"(-32.768, 32.768)",3,300,1000,0.1,4,[ 1.99377291 -7.97599757 -0.99702823],12.324735384498643,6.636714220046997
147,ackley,"(-32.768, 32.768)",5,500,250,0.01,2,[-12.28583573   4.13476015   1.90249917  -6.88980107   5.95502152],16.10084715680446,2.7165231704711914
148,ackley,"(-32.768, 32.768)",5,500,250,0.01,3,[11.99018732 -2.13394167 -1.94709018  0.0258322   4.0127305 ],13.942893912280104,2.746711015701294
149,ackley,"(-32.768, 32.768)",5,500,250,0.01,4,[-5.8563137   8.62426201  3.03524973  4.41919594  3.66074576],15.14934868608766,2.7278079986572266
150,ackley,"(-32.768, 32.768)",5,500,250,0.1,2,"[-5.98005909e+00  1.99425513e+00 -7.97424850e+00 -4.84259328e-04
  1.99457187e+00]",12.093432661582352,2.6687819957733154
151,ackley,"(-32.768, 32.768)",5,500,250,0.1,3,[ -0.99895901  -0.99880851  -5.99160749  -1.99734137 -12.97974466],14.539618749183317,2.735388994216919
152,ackley,"(-32.768, 32.768)",5,500,250,0.1,4,"[-6.97544273e+00  5.97893123e+00 -2.98857523e+00  1.88529928e-03
 -1.99345365e+00]",11.736601913086737,2.7210261821746826
153,ackley,"(-32.768, 32.768)",5,500,500,0.001,2,[-9.44183883 -7.71552338  1.95939336  7.76746244 -4.97860163],16.47885399025818,5.394956111907959
154,ackley,"(-32.768, 32.768)",5,500,500,0.001,3,[8.67573772 3.22620571 2.13361714 5.16838603 8.8083052 ],15.69851034575981,5.450596809387207
155,ackley,"(-32.768, 32.768)",5,500,500,0.001,4,[ -0.75659611  -4.0476267   -6.06534058 -11.67157549   4.22319439],15.829861963854082,5.537735939025879
156,ackley,"(-32.768, 32.768)",5,500,500,0.01,2,[ 3.97311603  3.91459346  3.9619679  -0.05688429  4.01520857],10.295727582509764,5.380859851837158
157,ackley,"(-32.768, 32.768)",5,500,500,0.01,3,[ 3.98881959 -4.98578268  3.98855466 -3.98866681  6.98028943],12.54265326217509,5.437522888183594
158,ackley,"(-32.768, 32.768)",5,500,500,0.1,2,[ 1.99723847 -6.98952229  4.99257583 -9.98444214  5.99091186],14.589682688642645,5.370594024658203
159,ackley,"(-32.768, 32.768)",5,500,500,0.01,4,[-1.00300499  9.09757303 -0.99652618  3.97142532 -4.39357958],13.377411096278824,5.467849969863892
160,ackley,"(-32.768, 32.768)",5,500,500,0.1,3,"[-9.97570683e-01 -9.22401904e-05 -4.98749701e+00  2.99299769e+00
  9.97422476e+00]",12.91608570038051,5.392669916152954
161,ackley,"(-32.768, 32.768)",5,500,500,0.1,4,[-2.99516826 -3.99391659 -3.99379011 -4.99219552 11.98089864],14.522727790394622,5.500313758850098
162,ackley,"(-32.768, 32.768)",5,500,750,0.001,2,[-2.17034187  2.68333459  7.44230926  2.24309733 -0.86845758],12.436074543425015,8.03722333908081
163,ackley,"(-32.768, 32.768)",5,500,750,0.001,3,[  3.30024855  -0.93674864   1.95943225 -14.95579919   4.65182297],16.52166220135654,8.12047004699707
164,ackley,"(-32.768, 32.768)",5,500,750,0.001,4,[ -5.04661009   1.04388919  -8.35197039 -12.1371524    3.98741283],16.172809112089503,8.295042753219604
165,ackley,"(-32.768, 32.768)",5,500,750,0.01,2,[-1.99608098 -8.98255677 -6.98646583  3.99227226 -4.99030221],13.867133700081851,8.029381036758423
166,ackley,"(-32.768, 32.768)",5,500,750,0.01,3,"[ 1.96583844e-03  4.96670400e+00  4.99108913e+00 -1.29519781e+01
 -4.99770233e+00]",15.06701066342766,8.311191082000732
167,ackley,"(-32.768, 32.768)",5,500,750,0.01,4,[ 8.9832404  -2.99437526  8.98319752  2.99447583 -0.99810936],13.989387239489439,8.225908041000366
168,ackley,"(-32.768, 32.768)",5,500,750,0.1,2,[-4.99117485 -5.98937021 -1.99665773 -9.98208775  4.99064815],14.164621963563459,7.981929063796997
169,ackley,"(-32.768, 32.768)",5,500,750,0.1,3,"[-8.98054357e+00 -2.99429057e+00  5.62318008e-04  2.99344995e+00
  7.98348308e+00]",13.608320970030324,8.192816972732544
170,ackley,"(-32.768, 32.768)",5,500,750,0.1,4,[-2.99325088  5.98627808 -2.99332933 -8.9786019  -2.99267677],13.15376768358627,8.154421091079712
171,ackley,"(-32.768, 32.768)",5,500,1000,0.001,2,[ 2.54720018  0.08331229  3.73757558 -8.57324285 -6.2106666 ],14.727248209374274,10.686619997024536
172,ackley,"(-32.768, 32.768)",10,1000,250,0.001,2,"[ -2.55084979   2.42784467  -5.94115152 -14.4805839  -14.5208609
   6.43503299   5.84646466   1.59663343   9.0105744  -17.22644053]",19.047975959634922,5.410628795623779
173,ackley,"(-32.768, 32.768)",5,500,1000,0.001,3,[  5.39572653  -3.44513442   2.39627765  -5.25757592 -10.35306915],16.196032468481324,10.887871026992798
174,ackley,"(-32.768, 32.768)",10,1000,250,0.001,3,"[ 1.40361977e+01 -3.78744352e+00  3.47378008e+00  1.23158765e+01
 -2.18284408e+01  3.11239700e+00  1.78962938e-02  2.33469429e-01
 -5.03556643e+00  1.46987420e+00]",18.444447315821975,5.56911826133728
175,ackley,"(-32.768, 32.768)",5,500,1000,0.001,4,[-9.04713238  2.14880584 -2.50976718  3.84898724 -2.54731775],13.98782432080227,10.884275197982788
176,ackley,"(-32.768, 32.768)",5,500,1000,0.01,2,[ 3.98190111  1.990846    6.9680378  -1.99104104 -0.99547796],10.718179045836024,10.793124914169312
177,ackley,"(-32.768, 32.768)",5,500,1000,0.01,3,[  4.00046909 -12.97873779   2.98914384   2.99013099   4.11222211],14.813891948562752,10.887383222579956
178,ackley,"(-32.768, 32.768)",5,500,1000,0.1,2,"[-2.99344008e+00  1.09744459e+01  2.99325702e+00 -2.99220690e+00
  2.79508650e-05]",13.254501525163462,10.74272108078003
179,ackley,"(-32.768, 32.768)",5,500,1000,0.01,4,"[-9.97561869e-01 -9.97554750e-01  1.56093915e-05  9.97487197e+00
  5.98495798e+00]",12.997070008782051,11.161139965057373
180,ackley,"(-32.768, 32.768)",5,500,1000,0.1,3,[-7.98317592 -5.9870078   3.99105874  5.9872551   1.99481285],13.447705950238095,10.740844964981079
181,ackley,"(-32.768, 32.768)",10,1000,250,0.001,4,"[-14.24137039  15.76865871   9.43806968  11.32770801  -1.77460609
  12.2941378    0.98920194   0.83618622   9.15086681   2.13381016]",18.60745552664383,5.448746919631958
182,ackley,"(-32.768, 32.768)",10,1000,250,0.01,2,"[-3.21097641 -2.93511151 16.08937182 -9.05594578  2.15154059 -2.50866572
  3.86397594 -2.55267082 -1.05817721  1.2944459 ]",15.691793407460606,5.401226043701172
183,ackley,"(-32.768, 32.768)",5,500,1000,0.1,4,[ 6.98183772  0.99724879 -1.99511314 -5.98535491  6.98249005],13.023681311858553,11.170110940933228
184,ackley,"(-32.768, 32.768)",10,1000,250,0.01,3,"[  4.95731247 -18.08286328  13.00981492   7.0959899   -7.56393796
  -2.01431245   8.63893319  10.02596365  -5.16247313  -2.89997605]",17.8121514175433,5.51790714263916
185,ackley,"(-32.768, 32.768)",10,1000,250,0.01,4,"[  8.8462459    1.86118642 -14.07626053  -7.01167279  -3.75498519
  -0.20984156 -24.80463288 -10.04462281 -12.12168984  -7.15529094]",18.78061007404579,5.510848045349121
186,ackley,"(-32.768, 32.768)",10,1000,250,0.1,2,"[ -1.99916746 -18.98623958   4.99779137  -2.99877709  -6.99411877
  -6.99586853 -13.99147088  -6.99533067   3.996059    -1.99875266]",16.507857889073723,5.410855293273926
187,ackley,"(-32.768, 32.768)",10,1000,250,0.1,3,"[ 2.99802946e+00  3.40391172e-04  9.96964066e-01  2.09874604e+01
 -7.99493580e+00 -3.99863317e+00 -1.64186909e-03  7.99388123e+00
 -5.99657504e+00  1.29936239e+01]",16.655006674696303,5.600203037261963
188,ackley,"(-32.768, 32.768)",10,1000,250,0.1,4,"[-9.99273750e+00 -4.99580465e+00  1.99811618e+01  1.79575714e-04
 -3.99461657e+00  8.99188466e+00 -2.99577693e+00 -9.46629075e-04
  1.99973605e+00 -7.99302779e+00]",16.240495162351007,5.488120079040527
189,ackley,"(-32.768, 32.768)",10,1000,500,0.001,2,"[-0.85879636 12.19133864 -6.95523398 -3.69806666  3.96746155 -8.01416439
  1.74262418 -6.16426923 26.18984554  9.94412986]",18.590209734139634,10.977581262588501
190,ackley,"(-32.768, 32.768)",10,1000,500,0.001,3,"[  8.87736549  -5.96838047   1.33312687   2.34184234   4.87771639
  17.79502012 -16.78794267   4.43228146   9.05043384 -10.1521916 ]",18.582386426085503,10.941113948822021
191,ackley,"(-32.768, 32.768)",10,1000,500,0.01,2,"[  5.02224128 -15.96821544   2.99330527   5.95390805  14.32766531
   2.81326238   4.92307514  -6.04885387  -4.96382478  -3.10154716]",16.535190981764867,10.873420000076294
192,ackley,"(-32.768, 32.768)",10,1000,500,0.01,3,"[ 5.82774079  0.85501639  2.72305029 -7.05208219  6.08469962  2.04820661
  4.01479178  5.86951572 18.61472825 -6.02599324]",16.530100417249077,10.901828050613403
193,ackley,"(-32.768, 32.768)",10,1000,500,0.001,4,"[11.66886972 -0.44446805  2.30846615  2.61197497 -0.62865163 -3.93971278
 18.72482723  0.09918285 11.90009954 13.3859295 ]",18.65313780075808,11.056406021118164
194,ackley,"(-32.768, 32.768)",10,1000,500,0.1,2,"[ 1.99866077e+01  7.02895905e-04  6.99365446e+00  9.99313528e+00
  2.99974463e+00 -8.32247267e-04  3.99477741e+00 -1.39899558e+01
  9.98625807e-01 -1.00008391e+00]",16.547553703294547,10.815966844558716
195,ackley,"(-32.768, 32.768)",10,1000,500,0.01,4,"[-1.40088618e+01  1.98292037e+00  5.95127645e+00 -6.09373630e-03
 -9.98739543e+00  1.69764855e+01 -1.10490462e+01 -2.39960024e+01
 -2.01203759e+00 -9.88865555e-01]",18.034486376379938,11.02742314338684
196,ackley,"(-32.768, 32.768)",10,1000,500,0.1,3,"[-18.98790371  10.99285114   5.99772868   0.99854327   5.99526389
  -8.99476448 -11.99315383  -3.99842848  -8.9944052   -4.99901699]",17.005432180238383,10.912737846374512
197,ackley,"(-32.768, 32.768)",10,1000,500,0.1,4,"[-10.9910965    1.9998267   11.98950145  -2.99870949  16.98669176
   7.99522228  -2.9962658   -4.99485159   6.99447747   2.99705566]",16.34604208402158,11.00182557106018
198,ackley,"(-32.768, 32.768)",10,1000,750,0.001,2,"[ -8.41270158 -10.64675834   4.6930457    5.11509271  -8.82048689
 -17.82980839  -6.22482518  -8.78702755  -2.69469373  -4.03064019]",18.158162300807135,16.397277355194092
199,ackley,"(-32.768, 32.768)",10,1000,750,0.001,3,"[ -6.06945723   8.48229507  10.15565727  -2.64404699  14.47083982
  -6.28805988  -2.233722   -18.81250507   4.73719116  -2.40225008]",18.734331795252345,16.74729013442993
200,ackley,"(-32.768, 32.768)",10,1000,750,0.001,4,"[ -8.07666679  -5.65436224  -7.62039301   5.45967357 -10.88534384
  -4.31861053  -1.39109384 -11.26623514  -3.95784295   8.65489514]",17.269316626928564,16.55190110206604
201,ackley,"(-32.768, 32.768)",10,1000,750,0.01,2,"[ 7.99208411 -2.50853603  5.93943438  2.05315549 -6.21338952 -0.12015124
  3.89064669 22.03188699  2.97952125 15.99639711]",17.831671643988376,16.352308988571167
202,ackley,"(-32.768, 32.768)",10,1000,750,0.01,3,"[ -0.99947616   0.96293239  -5.96640503  19.9639277  -17.92720578
   0.84614213   0.89667313   2.96829667   2.00480196   9.01458838]",17.06495288222725,16.513669967651367
203,ackley,"(-32.768, 32.768)",10,1000,750,0.01,4,"[ -6.9830878  -16.01459296 -12.98288286  -8.02861831   6.02846801
   2.96246364   9.3282891  -18.00824124  -2.00749775   0.70142852]",17.965343763200828,16.49523901939392
204,ackley,"(-32.768, 32.768)",10,1000,750,0.1,2,"[ -6.99651425   2.0010026  -12.99580724  -3.00005127  -8.99637881
 -15.99105775   1.99992973   0.9996014   23.99166059   4.99840774]",17.708746957969826,16.287126064300537
205,ackley,"(-32.768, 32.768)",10,1000,750,0.1,3,"[ -6.99757274  -2.99980166 -18.9884765   14.99162221   3.99809089
 -15.99133556  -3.99660244  -2.99680737   2.99903073  -3.99718543]",17.197454186799288,16.37953281402588
206,ackley,"(-32.768, 32.768)",10,1000,750,0.1,4,"[  0.99775839  -4.9988819   -0.99858735 -12.99404466   4.99517281
   3.99773183  11.99168548  23.98634484  -2.9983187   -2.99818718]",17.222986801408442,16.634103775024414
207,rastrigin,"(-5.12, 5.12)",3,300,250,0.001,2,[-0.8241712   1.98914652 -0.06287024],10.93984591566408,1.0857582092285156
208,rastrigin,"(-5.12, 5.12)",3,300,250,0.001,3,[ 1.00405549 -1.98823135 -1.0034255 ],6.000943064852073,1.1344492435455322
209,rastrigin,"(-5.12, 5.12)",3,300,250,0.001,4,[ 0.93081194 -3.02820148  0.00880218],11.138488423421489,1.1585099697113037
210,rastrigin,"(-5.12, 5.12)",3,300,250,0.01,2,[-9.94922620e-01 -1.98987497e+00 -2.24141504e-05],4.9747908794409526,1.0851078033447266
211,ackley,"(-32.768, 32.768)",10,1000,1000,0.001,2,"[ -0.91552023  18.86537682   1.30239934  15.97498899   1.22607551
   2.28993642   3.14011159   4.02454431 -18.97524617   6.22733115]",18.506550856084694,21.63682794570923
212,rastrigin,"(-5.12, 5.12)",3,300,250,0.01,3,[0.99493302 0.99499465 1.98989422],5.969749756219542,1.1313350200653076
213,rastrigin,"(-5.12, 5.12)",3,300,250,0.01,4,[ 9.94923357e-01  1.98990269e+00 -3.27719857e-05],4.974790725579577,1.0870580673217773
214,rastrigin,"(-5.12, 5.12)",3,300,250,0.1,2,[ 1.98992555e+00 -9.94882157e-01  1.84043396e-04],4.9747981625638715,1.071861982345581
215,rastrigin,"(-5.12, 5.12)",3,300,250,0.1,3,[-0.99606892 -0.99435837 -0.99439449],2.98525618130968,1.1258037090301514
216,rastrigin,"(-5.12, 5.12)",3,300,250,0.1,4,[-1.9897324  -1.98987764  0.99478533],8.954634033926467,1.1324188709259033
217,rastrigin,"(-5.12, 5.12)",3,300,500,0.001,2,[-0.97646418  1.99495249  0.02991972],5.224568327543931,2.177680015563965
218,rastrigin,"(-5.12, 5.12)",3,300,500,0.001,3,[-0.14212263  0.98693504  0.77230858],13.956357064989366,2.1634938716888428
219,ackley,"(-32.768, 32.768)",10,1000,1000,0.001,3,"[-18.64338353   5.55229999   5.32058766  -3.08243617  -7.6332922
   0.77593062 -10.10206305  -0.13403716   5.30582074  -8.80271248]",17.90578361110054,22.019960165023804
220,rastrigin,"(-5.12, 5.12)",3,300,500,0.01,2,[-3.37074052e-05  1.98988836e+00  1.98991184e+00],7.959662719384745,2.245203971862793
221,rastrigin,"(-5.12, 5.12)",3,300,500,0.001,4,[2.00886716 1.97509622 0.97894271],9.11996799980124,2.3871469497680664
222,rastrigin,"(-5.12, 5.12)",3,300,500,0.01,3,[ 9.94875589e-01 -6.61260892e-05  9.94926577e-01],1.9899205531487354,2.7852349281311035
223,rastrigin,"(-5.12, 5.12)",3,300,500,0.01,4,[ 1.98991998e+00 -3.33258603e-06  1.98992919e+00],7.959662452084576,2.7406768798828125
224,rastrigin,"(-5.12, 5.12)",3,300,500,0.1,2,[0.99494786 1.98989199 1.99007732],8.954626938294563,2.7229881286621094
225,rastrigin,"(-5.12, 5.12)",3,300,500,0.1,3,[-1.98943728e+00 -1.13236886e-04 -9.94750318e-01],4.974846058618855,2.245512008666992
226,rastrigin,"(-5.12, 5.12)",3,300,500,0.1,4,[9.93753303e-01 1.12863568e-03 6.45693544e-04],0.9955825474163689,2.33135724067688
227,rastrigin,"(-5.12, 5.12)",3,300,750,0.001,2,[1.07296152 1.99377804 0.96694542],7.316438166329931,3.3270201683044434
228,ackley,"(-32.768, 32.768)",10,1000,1000,0.01,2,"[-4.00668074e+00  8.96617586e+00  1.59368236e+01 -3.96608772e+00
 -5.17992060e+00 -6.99919128e+00  1.04072928e-02  3.01183836e+00
 -1.79937826e+01 -8.98769105e+00]",17.040526485017818,22.34607982635498
229,ackley,"(-32.768, 32.768)",10,1000,1000,0.001,4,"[ -1.11485052 -12.85547628  -5.69312045   4.30898878  22.04785827
  -1.87582079   4.13597954  14.46409188  -0.92813258  -2.26313443]",18.514114193545648,22.950810194015503
230,ackley,"(-32.768, 32.768)",10,1000,1000,0.1,2,"[ 11.99059203   2.99552822   6.99395408   4.99406223  -4.99447044
  10.98882369   7.99309032  -1.99788503   6.9927197  -12.98736953]",16.05331154518478,22.36782193183899
231,ackley,"(-32.768, 32.768)",10,1000,1000,0.01,3,"[ 5.00876033  5.00074188 -1.99795409 19.0895066   2.00663712  9.9832726
  9.97561939 -1.04073823 -7.97707412 -1.96692999]",16.267543312567714,22.829750776290894
232,ackley,"(-32.768, 32.768)",10,1000,1000,0.01,4,"[  3.07464698   4.11278517   3.00207147   5.92345961  -8.04269433
 -13.9570121    3.99669136 -12.97189242  -4.9351323   -0.97516347]",15.56652954084248,22.97954487800598
233,rastrigin,"(-5.12, 5.12)",3,300,750,0.001,3,[ 8.16738988e-07 -9.94841984e-01 -9.95025900e-01],1.9899217097881348,3.454771041870117
234,rastrigin,"(-5.12, 5.12)",3,300,750,0.001,4,[-2.04120943 -0.99558714  1.00218798],6.5002449585590405,3.5696370601654053
235,rastrigin,"(-5.12, 5.12)",3,300,750,0.01,2,[-1.98987499  1.98993019 -0.99495389],8.954621781192007,3.36022686958313
236,rastrigin,"(-5.12, 5.12)",3,300,750,0.01,3,[ 0.994939   -1.98988305  0.99497369],5.969749594742321,3.400139093399048
237,rastrigin,"(-5.12, 5.12)",3,300,750,0.01,4,[-1.98988818e+00 -3.29227861e-05  9.94947989e-01],4.974790599769342,3.5019867420196533
238,ackley,"(-32.768, 32.768)",10,1000,1000,0.1,3,"[ 3.99598416e+00 -7.99032460e+00  2.99529804e+00 -4.99339533e+00
  1.24846160e-03 -9.98824596e+00 -1.69813527e+01 -1.62245578e-03
 -8.98940605e+00  2.99753174e+00]",15.70958013290237,22.705822944641113
239,rastrigin,"(-5.12, 5.12)",3,300,750,0.1,2,[ 6.69937230e-04  1.18364779e-03 -9.95768696e-01],0.995456174266721,3.4056921005249023
240,ackley,"(-32.768, 32.768)",10,1000,1000,0.1,4,"[-0.99840744 19.98786341 -2.99614595  6.99509996  7.9935067  -7.99630315
  6.99510635 -1.99849448 -7.9937116  10.99381569]",16.746508064595886,22.992117166519165
241,rastrigin,"(-5.12, 5.12)",3,300,750,0.1,3,[-0.99490816 -0.9948373  -0.99509036],2.984884036641038,3.457551956176758
242,rastrigin,"(-5.12, 5.12)",3,300,750,0.1,4,[ 6.12669734e-04  9.95371624e-01 -7.49885151e-04],0.9951789087124467,3.538583993911743
243,rastrigin,"(-5.12, 5.12)",3,300,1000,0.001,2,[-9.94956029e-01 -1.01355904e-07  1.98991126e+00],4.97479024918794,4.507907867431641
244,rastrigin,"(-5.12, 5.12)",5,500,250,0.001,2,[-0.05970395  1.82564969  1.98579552 -0.85904406  1.78067857],29.104160927696014,1.8686110973358154
245,rastrigin,"(-5.12, 5.12)",3,300,1000,0.001,3,[2.76368789e-06 1.98991486e+00 9.94957618e-01],4.974790250736106,4.582647800445557
246,rastrigin,"(-5.12, 5.12)",3,300,1000,0.001,4,[-0.93550619  0.02028947 -1.03409361],3.0645184479535317,4.615782976150513
247,rastrigin,"(-5.12, 5.12)",3,300,1000,0.01,2,[-2.28669642e-05 -9.94953175e-01 -2.98484991e+00],9.949560414857366,4.4714391231536865
248,rastrigin,"(-5.12, 5.12)",5,500,250,0.001,3,[1.81717564 1.04127489 2.13549467 1.02860154 1.01772591],20.911572192393486,1.8525681495666504
249,rastrigin,"(-5.12, 5.12)",3,300,1000,0.01,3,[ 9.94966759e-01 -7.02544397e-05 -9.94895522e-01],1.9899198963816929,4.654056072235107
250,rastrigin,"(-5.12, 5.12)",3,300,1000,0.01,4,[ 3.88743668e-05 -1.43532383e-04 -9.94891813e-01],0.9949643295589539,4.6409032344818115
251,rastrigin,"(-5.12, 5.12)",3,300,1000,0.1,2,[ 9.94464120e-01  9.95436752e-01 -5.59855262e-04],1.9900741180951123,4.459514856338501
252,rastrigin,"(-5.12, 5.12)",5,500,250,0.001,4,[-1.17182449 -2.9200102   2.02571414 -1.81401549  2.01714114],34.156064000270135,1.8822400569915771
253,rastrigin,"(-5.12, 5.12)",3,300,1000,0.1,3,[ 0.00300781  0.00058121 -0.0009846 ],0.0020541283139863253,4.547014951705933
254,rastrigin,"(-5.12, 5.12)",5,500,250,0.01,2,[ 1.08174823 -2.18487857  0.99081591  0.00866429 -0.86630608],18.345057689528875,1.8510692119598389
255,rastrigin,"(-5.12, 5.12)",3,300,1000,0.1,4,[ 2.39372778e-04 -9.96513947e-01 -3.93312894e-04],0.9954808292343138,4.6159348487854
256,rastrigin,"(-5.12, 5.12)",5,500,250,0.01,3,"[ 1.90189204e-04 -9.94939347e-01 -2.98498217e+00 -1.38654100e-05
  9.94990779e-01]",10.944530007746557,1.8628509044647217
257,rastrigin,"(-5.12, 5.12)",5,500,250,0.01,4,[ 1.06400462  0.91446402 -1.91177764 -1.99361422 -0.90311427],15.922743601437652,1.8820490837097168
258,rastrigin,"(-5.12, 5.12)",5,500,250,0.1,2,"[9.93822859e-01 9.95889179e-01 9.93201540e-01 1.11312308e-03
 9.75186448e-04]",2.9863512756558492,1.8501458168029785
259,rastrigin,"(-5.12, 5.12)",5,500,250,0.1,3,[ 1.99023984 -0.99416604  1.98997071  0.99561398 -0.99375705],10.9450574854272,1.9005811214447021
260,rastrigin,"(-5.12, 5.12)",5,500,250,0.1,4,[-1.989461   -0.99564028  1.9898074  -2.98512382 -0.99487481],18.904331955561975,1.8487019538879395
261,rastrigin,"(-5.12, 5.12)",5,500,500,0.001,2,[-0.87403145 -1.10040482 -1.5308103  -0.99212449 -0.87592964],33.67986297712143,3.6748430728912354
262,rastrigin,"(-5.12, 5.12)",5,500,500,0.001,3,[-0.86305447 -0.84226878  0.97663182  2.96734683 -2.86189419],31.256498296430568,3.757490873336792
263,rastrigin,"(-5.12, 5.12)",5,500,500,0.001,4,[ 1.06358454  0.12730599  2.00511271 -0.02100691 -0.22427075],17.520810839915143,3.8266961574554443
264,rastrigin,"(-5.12, 5.12)",5,500,500,0.01,2,[-0.02471425 -2.84825221  1.01127359 -0.03033867  0.00907896],13.690976168553249,3.6732537746429443
265,rastrigin,"(-5.12, 5.12)",5,500,500,0.01,3,"[ 2.98497111e+00  1.98998151e+00 -7.67404267e-06 -9.94963250e-01
  1.98994127e+00]",17.90922644334401,3.7623281478881836
266,rastrigin,"(-5.12, 5.12)",5,500,500,0.1,2,"[ 5.29524162e-04 -1.89837038e-04  3.97944162e+00 -9.94575399e-01
  1.10607611e-04]",16.91432022650543,3.6473379135131836
267,rastrigin,"(-5.12, 5.12)",5,500,500,0.01,4,"[-9.94581909e-01  1.95106996e-04  9.94862617e-01 -2.59648455e-04
 -5.18966532e-04]",1.9900224436982867,3.7553651332855225
268,rastrigin,"(-5.12, 5.12)",5,500,500,0.1,3,"[ 1.18233088e-03 -9.95862617e-01 -6.82001322e-04 -9.94373539e-01
 -1.98953804e+00]",5.970376567785053,3.7423360347747803
269,rastrigin,"(-5.12, 5.12)",5,500,500,0.1,4,[ 1.989664   -0.99515578  1.99016147  1.99038448 -2.98495982],21.88913237648086,3.791905164718628
270,rastrigin,"(-5.12, 5.12)",5,500,750,0.001,2,[ 1.96587585  0.83460742  0.89126673 -1.06671546  1.26720057],27.44789437801792,5.514333963394165
271,rastrigin,"(-5.12, 5.12)",5,500,750,0.001,3,[-0.15964642 -1.17398991  1.18307957 -1.08939492  2.13881281],29.614290798411016,5.5879998207092285
272,rastrigin,"(-5.12, 5.12)",5,500,750,0.001,4,[ 0.04589722  0.88108444  1.06436768 -0.67244501 -2.06903328],26.136293184984233,5.71130895614624
273,rastrigin,"(-5.12, 5.12)",5,500,750,0.01,2,"[-2.98490133e+00 -9.94976742e-01  3.76491582e-05 -1.04038873e-05
  2.98487371e+00]",18.904162382924817,5.501553773880005
274,rastrigin,"(-5.12, 5.12)",5,500,750,0.01,3,[ 0.99491752 -0.99493327  1.98992312  0.99484133 -1.98986011],10.944543305091344,5.60804009437561
275,rastrigin,"(-5.12, 5.12)",5,500,750,0.01,4,"[ 2.98483396e+00  1.98990004e+00 -2.52981838e-06 -2.98489911e+00
 -9.94946237e-01]",22.8839932572723,5.676062107086182
276,rastrigin,"(-5.12, 5.12)",5,500,750,0.1,2,"[-3.91394600e-04  3.93779397e-04 -9.94483146e-01 -1.99167888e+00
  9.94248806e-01]",5.970573290005731,5.531983852386475
277,rastrigin,"(-5.12, 5.12)",5,500,750,0.1,3,[ 1.99021298  0.99464344 -0.99530448  1.99046467  0.99475668],10.944669398904288,5.565346002578735
